((54, 'wilting_point_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 1.0000000000000002)
((8, 'number_of_soil_layers_in_root_zone_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.85944074256556902)
((8, 'number_of_soil_layers_in_root_zone_surface'), (54, 'wilting_point_surface'), 0.85944074256556902)
((17, 'upward_long_wave_rad_flux_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.84651489587936124)
((30, 'downward_long_wave_rad_flux_surface'), (40, 'temperature_surface'), 0.83087577835127635)
((2, 'geopotential_height_lltw'), (17, 'upward_long_wave_rad_flux_surface'), 0.82817014615353191)
((38, 'geopotential_height_zerodegc_isotherm'), (40, 'temperature_surface'), 0.823103087100445)
((17, 'upward_long_wave_rad_flux_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.81778627462218945)
((18, 'land_cover_land1_sea0_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.81635947688650934)
((27, 'soil_porosity_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.81635947688650934)
((30, 'downward_long_wave_rad_flux_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.8031051467950886)
((2, 'geopotential_height_lltw'), (30, 'downward_long_wave_rad_flux_surface'), 0.80147258022601742)
((21, 'albedo_surface'), (41, 'snow_cover_surface'), 0.79290450438988391)
((8, 'number_of_soil_layers_in_root_zone_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.78903488513569153)
((8, 'number_of_soil_layers_in_root_zone_surface'), (45, 'surface_roughness_surface'), 0.76613803211881693)
((30, 'downward_long_wave_rad_flux_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.75563267013428026)
((2, 'geopotential_height_lltw'), (55, 'precipitable_water_entire_atmosphere'), 0.75445016032576306)
((18, 'land_cover_land1_sea0_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.72551689539342712)
((19, 'vegitation_type_as_in_sib_surface'), (27, 'soil_porosity_surface'), 0.72551689539342712)
((19, 'vegitation_type_as_in_sib_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.72260114718058566)
((40, 'temperature_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.70868799717118791)
((38, 'geopotential_height_zerodegc_isotherm'), (55, 'precipitable_water_entire_atmosphere'), 0.70341650526931421)
((8, 'number_of_soil_layers_in_root_zone_surface'), (28, 'vegetation_surface'), 0.6885391611636269)
((11, 'upward_short_wave_rad_flux_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.68696747655648116)
((17, 'upward_long_wave_rad_flux_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.68012676021430274)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (28, 'vegetation_surface'), 0.67456052245844611)
((27, 'soil_porosity_surface'), (28, 'vegetation_surface'), 0.67110635730643187)
((18, 'land_cover_land1_sea0_surface'), (28, 'vegetation_surface'), 0.67110635730643187)
((19, 'vegitation_type_as_in_sib_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.66163368857039662)
((19, 'vegitation_type_as_in_sib_surface'), (54, 'wilting_point_surface'), 0.66163368857039662)
((43, 'convective_available_potential_energy_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.64477104047013112)
((27, 'soil_porosity_surface'), (45, 'surface_roughness_surface'), 0.63433485872466011)
((18, 'land_cover_land1_sea0_surface'), (45, 'surface_roughness_surface'), 0.63433485872466011)
((28, 'vegetation_surface'), (54, 'wilting_point_surface'), 0.62864996110090776)
((28, 'vegetation_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.62864996110090776)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (45, 'surface_roughness_surface'), 0.6248268665688187)
((18, 'land_cover_land1_sea0_surface'), (42, 'geopotential_height_surface'), 0.61286099348358769)
((27, 'soil_porosity_surface'), (42, 'geopotential_height_surface'), 0.61286099348358769)
((29, 'categorical_rain_yes1_no0_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.6120398440637177)
((28, 'vegetation_surface'), (45, 'surface_roughness_surface'), 0.6014550479102152)
((19, 'vegitation_type_as_in_sib_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.60002018385957745)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (42, 'geopotential_height_surface'), 0.59880867802452908)
((8, 'number_of_soil_layers_in_root_zone_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.59421328018640562)
((22, 'lightning_surface'), (29, 'categorical_rain_yes1_no0_surface'), 0.59100934449821863)
((8, 'number_of_soil_layers_in_root_zone_surface'), (42, 'geopotential_height_surface'), 0.58260893660462498)
((41, 'snow_cover_surface'), (50, 'snow_depth_surface'), 0.57821911338199816)
((28, 'vegetation_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.54968262282278424)
((15, 'surface_wind_gust_surface'), (34, 'friction_velocity_surface'), 0.54322245225034449)
((45, 'surface_roughness_surface'), (54, 'wilting_point_surface'), 0.53918619020559089)
((45, 'surface_roughness_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.53918619020559089)
((21, 'albedo_surface'), (50, 'snow_depth_surface'), 0.53719075695804208)
((41, 'snow_cover_surface'), (49, 'pressure_tropopause'), 0.530777551362413)
((32, 'soil_type_as_in_zobler_surface'), (42, 'geopotential_height_surface'), 0.51304593310539315)
((42, 'geopotential_height_surface'), (54, 'wilting_point_surface'), 0.5109092777936054)
((42, 'geopotential_height_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.5109092777936054)
((21, 'albedo_surface'), (27, 'soil_porosity_surface'), 0.50666244496619861)
((18, 'land_cover_land1_sea0_surface'), (21, 'albedo_surface'), 0.50666244496619861)
((12, 'relative_humidity_zerodegc_isotherm'), (49, 'pressure_tropopause'), 0.50406013536884109)
((21, 'albedo_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.49747929161672938)
((3, 'water_equiv_of_accum_snow_depth_surface'), (41, 'snow_cover_surface'), 0.48770953845001802)
((21, 'albedo_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.48727703735519412)
((30, 'downward_long_wave_rad_flux_surface'), (43, 'convective_available_potential_energy_surface'), 0.48665079096990876)
((19, 'vegitation_type_as_in_sib_surface'), (21, 'albedo_surface'), 0.48153206088228262)
((32, 'soil_type_as_in_zobler_surface'), (45, 'surface_roughness_surface'), 0.48066883993150261)
((17, 'upward_long_wave_rad_flux_surface'), (43, 'convective_available_potential_energy_surface'), 0.47616457710830629)
((8, 'number_of_soil_layers_in_root_zone_surface'), (21, 'albedo_surface'), 0.47061508082303882)
((21, 'albedo_surface'), (49, 'pressure_tropopause'), 0.46774897678221511)
((40, 'temperature_surface'), (43, 'convective_available_potential_energy_surface'), 0.4671096025281648)
((12, 'relative_humidity_zerodegc_isotherm'), (47, 'temperature_tropopause'), 0.45509926293305025)
((3, 'water_equiv_of_accum_snow_depth_surface'), (21, 'albedo_surface'), 0.45422279980681141)
((8, 'number_of_soil_layers_in_root_zone_surface'), (36, 'plant_canopy_surface_water_surface'), 0.45017197079511595)
((12, 'relative_humidity_zerodegc_isotherm'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.4494414428714571)
((34, 'friction_velocity_surface'), (48, 'geopotential_height_pblri'), 0.44639524460701085)
((27, 'soil_porosity_surface'), (36, 'plant_canopy_surface_water_surface'), 0.43492257185078781)
((18, 'land_cover_land1_sea0_surface'), (36, 'plant_canopy_surface_water_surface'), 0.43492257185078781)
((47, 'temperature_tropopause'), (56, 'u-component_of_wind_pblri'), 0.43424452692405735)
((21, 'albedo_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.43021620949495354)
((21, 'albedo_surface'), (54, 'wilting_point_surface'), 0.43021620949495354)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (36, 'plant_canopy_surface_water_surface'), 0.42901037397621561)
((48, 'geopotential_height_pblri'), (52, 'downward_short_wave_rad_flux_surface'), 0.41559196279246918)
((19, 'vegitation_type_as_in_sib_surface'), (28, 'vegetation_surface'), 0.41370740705084957)
((34, 'friction_velocity_surface'), (45, 'surface_roughness_surface'), 0.41064165548625986)
((8, 'number_of_soil_layers_in_root_zone_surface'), (34, 'friction_velocity_surface'), 0.40874683045431909)
((21, 'albedo_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.40787487941106787)
((2, 'geopotential_height_lltw'), (43, 'convective_available_potential_energy_surface'), 0.40675502131924646)
((49, 'pressure_tropopause'), (56, 'u-component_of_wind_pblri'), 0.40577919495839387)
((38, 'geopotential_height_zerodegc_isotherm'), (43, 'convective_available_potential_energy_surface'), 0.40269408181077687)
((19, 'vegitation_type_as_in_sib_surface'), (42, 'geopotential_height_surface'), 0.40254806323287867)
((33, 'geopotential_height_cloud_base'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.39465080399977781)
((17, 'upward_long_wave_rad_flux_surface'), (48, 'geopotential_height_pblri'), 0.38788072848785005)
((40, 'temperature_surface'), (48, 'geopotential_height_pblri'), 0.37617405427156181)
((22, 'lightning_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.3733242649495046)
((36, 'plant_canopy_surface_water_surface'), (54, 'wilting_point_surface'), 0.37325153530649313)
((36, 'plant_canopy_surface_water_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.37325153530649313)
((27, 'soil_porosity_surface'), (34, 'friction_velocity_surface'), 0.372186927608328)
((18, 'land_cover_land1_sea0_surface'), (34, 'friction_velocity_surface'), 0.372186927608328)
((36, 'plant_canopy_surface_water_surface'), (45, 'surface_roughness_surface'), 0.3716570128156223)
((49, 'pressure_tropopause'), (50, 'snow_depth_surface'), 0.36690760559320323)
((17, 'upward_long_wave_rad_flux_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.36673540135452504)
((41, 'snow_cover_surface'), (47, 'temperature_tropopause'), 0.36578140959895605)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (34, 'friction_velocity_surface'), 0.36421455143912884)
((8, 'number_of_soil_layers_in_root_zone_surface'), (41, 'snow_cover_surface'), 0.36143267936549817)
((36, 'plant_canopy_surface_water_surface'), (41, 'snow_cover_surface'), 0.36078675113139347)
((12, 'relative_humidity_zerodegc_isotherm'), (41, 'snow_cover_surface'), 0.35365329587620931)
((18, 'land_cover_land1_sea0_surface'), (41, 'snow_cover_surface'), 0.34756093199107407)
((27, 'soil_porosity_surface'), (41, 'snow_cover_surface'), 0.34756093199107407)
((23, 'ice_cover_ice1_no_ice0_surface'), (41, 'snow_cover_surface'), 0.34692865059261696)
((40, 'temperature_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.34058187218287406)
((32, 'soil_type_as_in_zobler_surface'), (36, 'plant_canopy_surface_water_surface'), 0.34035425435469635)
((21, 'albedo_surface'), (47, 'temperature_tropopause'), 0.3397102796291418)
((11, 'upward_short_wave_rad_flux_surface'), (48, 'geopotential_height_pblri'), 0.33764255209354205)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (41, 'snow_cover_surface'), 0.33525968404148382)
((46, 'pressure_maximum_wind'), (47, 'temperature_tropopause'), 0.32787930638741764)
((46, 'pressure_maximum_wind'), (49, 'pressure_tropopause'), 0.32674226650125876)
((25, 'pressure_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.31974897092558124)
((12, 'relative_humidity_zerodegc_isotherm'), (21, 'albedo_surface'), 0.31858346842229995)
((28, 'vegetation_surface'), (42, 'geopotential_height_surface'), 0.31383319656199493)
((21, 'albedo_surface'), (42, 'geopotential_height_surface'), 0.31095183781719804)
((34, 'friction_velocity_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.30995915222380788)
((34, 'friction_velocity_surface'), (54, 'wilting_point_surface'), 0.30995915222380788)
((25, 'pressure_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.30885783244720361)
((8, 'number_of_soil_layers_in_root_zone_surface'), (47, 'temperature_tropopause'), 0.30707687113821019)
((30, 'downward_long_wave_rad_flux_surface'), (33, 'geopotential_height_cloud_base'), 0.30328747695948938)
((3, 'water_equiv_of_accum_snow_depth_surface'), (49, 'pressure_tropopause'), 0.3021760425415847)
((13, 'categorical_snow_yes1_no0_surface'), (41, 'snow_cover_surface'), 0.30012409026304898)
((12, 'relative_humidity_zerodegc_isotherm'), (36, 'plant_canopy_surface_water_surface'), 0.29796410530354017)
((8, 'number_of_soil_layers_in_root_zone_surface'), (49, 'pressure_tropopause'), 0.29739229034204945)
((11, 'upward_short_wave_rad_flux_surface'), (34, 'friction_velocity_surface'), 0.29735023672673044)
((18, 'land_cover_land1_sea0_surface'), (47, 'temperature_tropopause'), 0.29466933746397966)
((27, 'soil_porosity_surface'), (47, 'temperature_tropopause'), 0.29466933746397966)
((12, 'relative_humidity_zerodegc_isotherm'), (29, 'categorical_rain_yes1_no0_surface'), 0.29088539336611591)
((11, 'upward_short_wave_rad_flux_surface'), (21, 'albedo_surface'), 0.28935478114274876)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (47, 'temperature_tropopause'), 0.28387506948966906)
((7, 'visibility_surface'), (40, 'temperature_surface'), 0.28188124001928488)
((34, 'friction_velocity_surface'), (47, 'temperature_tropopause'), 0.28011198352779909)
((18, 'land_cover_land1_sea0_surface'), (49, 'pressure_tropopause'), 0.27981705377246757)
((27, 'soil_porosity_surface'), (49, 'pressure_tropopause'), 0.27981705377246757)
((42, 'geopotential_height_surface'), (45, 'surface_roughness_surface'), 0.27872690179842163)
((32, 'soil_type_as_in_zobler_surface'), (34, 'friction_velocity_surface'), 0.27725172820664917)
((28, 'vegetation_surface'), (34, 'friction_velocity_surface'), 0.27604341966389961)
((34, 'friction_velocity_surface'), (49, 'pressure_tropopause'), 0.27556768271560378)
((14, 'u-component_of_wind_tropopause'), (56, 'u-component_of_wind_pblri'), 0.27354636003855953)
((17, 'upward_long_wave_rad_flux_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.27241784371747096)
((28, 'vegetation_surface'), (36, 'plant_canopy_surface_water_surface'), 0.27206705914352558)
((14, 'u-component_of_wind_tropopause'), (47, 'temperature_tropopause'), 0.27053673509895615)
((36, 'plant_canopy_surface_water_surface'), (42, 'geopotential_height_surface'), 0.26988912886648275)
((41, 'snow_cover_surface'), (45, 'surface_roughness_surface'), 0.26927032729305395)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (49, 'pressure_tropopause'), 0.26874801224373385)
((16, 'total_cloud_cover_entire_atmosphere'), (17, 'upward_long_wave_rad_flux_surface'), 0.26736312904043458)
((7, 'visibility_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.26642962165625939)
((41, 'snow_cover_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.26623367906463152)
((41, 'snow_cover_surface'), (54, 'wilting_point_surface'), 0.26623367906463152)
((7, 'visibility_surface'), (17, 'upward_long_wave_rad_flux_surface'), 0.26473441814775694)
((13, 'categorical_snow_yes1_no0_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.26456789841928524)
((8, 'number_of_soil_layers_in_root_zone_surface'), (50, 'snow_depth_surface'), 0.26312855255747297)
((27, 'soil_porosity_surface'), (50, 'snow_depth_surface'), 0.25761979478987074)
((18, 'land_cover_land1_sea0_surface'), (50, 'snow_depth_surface'), 0.25761979478987074)
((8, 'number_of_soil_layers_in_root_zone_surface'), (12, 'relative_humidity_zerodegc_isotherm'), 0.25693217525150736)
((32, 'soil_type_as_in_zobler_surface'), (41, 'snow_cover_surface'), 0.25380709939182644)
((34, 'friction_velocity_surface'), (56, 'u-component_of_wind_pblri'), 0.25365709914626211)
((19, 'vegitation_type_as_in_sib_surface'), (36, 'plant_canopy_surface_water_surface'), 0.25250729870276345)
((12, 'relative_humidity_zerodegc_isotherm'), (27, 'soil_porosity_surface'), 0.24705464773358626)
((12, 'relative_humidity_zerodegc_isotherm'), (18, 'land_cover_land1_sea0_surface'), 0.24705464773358626)
((21, 'albedo_surface'), (36, 'plant_canopy_surface_water_surface'), 0.2434039663772814)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (50, 'snow_depth_surface'), 0.24181740063436996)
((13, 'categorical_snow_yes1_no0_surface'), (50, 'snow_depth_surface'), 0.24086051101639697)
((12, 'relative_humidity_zerodegc_isotherm'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.24016737034583427)
((23, 'ice_cover_ice1_no_ice0_surface'), (49, 'pressure_tropopause'), 0.23650166396045452)
((19, 'vegitation_type_as_in_sib_surface'), (41, 'snow_cover_surface'), 0.23637779460462205)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (36, 'plant_canopy_surface_water_surface'), 0.2347102450913548)
((30, 'downward_long_wave_rad_flux_surface'), (31, 'planetary_boundary_layer_height_surface'), 0.23274563715707869)
((12, 'relative_humidity_zerodegc_isotherm'), (56, 'u-component_of_wind_pblri'), 0.23209271663301662)
((15, 'surface_wind_gust_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.23177948524110253)
((45, 'surface_roughness_surface'), (49, 'pressure_tropopause'), 0.23058327588501165)
((16, 'total_cloud_cover_entire_atmosphere'), (30, 'downward_long_wave_rad_flux_surface'), 0.23057935601544213)
((45, 'surface_roughness_surface'), (47, 'temperature_tropopause'), 0.22702985814596099)
((53, 'u-component_of_wind_maximum_wind'), (56, 'u-component_of_wind_pblri'), 0.22637423374829863)
((13, 'categorical_snow_yes1_no0_surface'), (21, 'albedo_surface'), 0.22541730676585273)
((3, 'water_equiv_of_accum_snow_depth_surface'), (13, 'categorical_snow_yes1_no0_surface'), 0.22515490136781496)
((47, 'temperature_tropopause'), (54, 'wilting_point_surface'), 0.22323954556930528)
((47, 'temperature_tropopause'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.22323954556930528)
((12, 'relative_humidity_zerodegc_isotherm'), (34, 'friction_velocity_surface'), 0.22205651031709236)
((3, 'water_equiv_of_accum_snow_depth_surface'), (8, 'number_of_soil_layers_in_root_zone_surface'), 0.2181656793629245)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (51, 'v-component_of_wind_tropopause'), 0.21732864361177298)
((47, 'temperature_tropopause'), (50, 'snow_depth_surface'), 0.21712523140865816)
((3, 'water_equiv_of_accum_snow_depth_surface'), (18, 'land_cover_land1_sea0_surface'), 0.21705566111096938)
((3, 'water_equiv_of_accum_snow_depth_surface'), (27, 'soil_porosity_surface'), 0.21705566111096938)
((13, 'categorical_snow_yes1_no0_surface'), (49, 'pressure_tropopause'), 0.21674910425566449)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (37, 'v-component_of_wind_maximum_wind'), 0.21626018385264154)
((15, 'surface_wind_gust_surface'), (48, 'geopotential_height_pblri'), 0.21564795353952895)
((15, 'surface_wind_gust_surface'), (25, 'pressure_surface'), 0.2120520843422862)
((25, 'pressure_surface'), (40, 'temperature_surface'), 0.20792588839945494)
((19, 'vegitation_type_as_in_sib_surface'), (50, 'snow_depth_surface'), 0.20753868433227798)
((49, 'pressure_tropopause'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.20738495522188466)
((49, 'pressure_tropopause'), (54, 'wilting_point_surface'), 0.20738495522188466)
((12, 'relative_humidity_zerodegc_isotherm'), (50, 'snow_depth_surface'), 0.20715575592167745)
((36, 'plant_canopy_surface_water_surface'), (49, 'pressure_tropopause'), 0.20653408625444419)
((21, 'albedo_surface'), (45, 'surface_roughness_surface'), 0.20636119034113953)
((12, 'relative_humidity_zerodegc_isotherm'), (46, 'pressure_maximum_wind'), 0.20535658544778287)
((22, 'lightning_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.20306178273404291)
((34, 'friction_velocity_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.20229854191020805)
((36, 'plant_canopy_surface_water_surface'), (47, 'temperature_tropopause'), 0.20128619490537494)
((3, 'water_equiv_of_accum_snow_depth_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.20072121722930322)
((2, 'geopotential_height_lltw'), (7, 'visibility_surface'), 0.20028618955554406)
((19, 'vegitation_type_as_in_sib_surface'), (47, 'temperature_tropopause'), 0.19630836127412463)
((12, 'relative_humidity_zerodegc_isotherm'), (54, 'wilting_point_surface'), 0.19527519478716404)
((12, 'relative_humidity_zerodegc_isotherm'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.19527519478716404)
((38, 'geopotential_height_zerodegc_isotherm'), (52, 'downward_short_wave_rad_flux_surface'), 0.19495479118646666)
((34, 'friction_velocity_surface'), (36, 'plant_canopy_surface_water_surface'), 0.19359715106801881)
((32, 'soil_type_as_in_zobler_surface'), (47, 'temperature_tropopause'), 0.19298963585629353)
((14, 'u-component_of_wind_tropopause'), (49, 'pressure_tropopause'), 0.19264532560177849)
((25, 'pressure_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.19229269576926511)
((34, 'friction_velocity_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.19228105819975988)
((11, 'upward_short_wave_rad_flux_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.19172754778592707)
((7, 'visibility_surface'), (10, 'pressure_reduced_to_msl_msl'), 0.19170215591901496)
((12, 'relative_humidity_zerodegc_isotherm'), (45, 'surface_roughness_surface'), 0.19122527764432146)
((29, 'categorical_rain_yes1_no0_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.19081845699366135)
((41, 'snow_cover_surface'), (46, 'pressure_maximum_wind'), 0.18983224428262424)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (49, 'pressure_tropopause'), 0.1877883899469581)
((46, 'pressure_maximum_wind'), (56, 'u-component_of_wind_pblri'), 0.18717508030624777)
((32, 'soil_type_as_in_zobler_surface'), (49, 'pressure_tropopause'), 0.18702647484391602)
((34, 'friction_velocity_surface'), (41, 'snow_cover_surface'), 0.18664623607460254)
((20, 'v-component_of_wind_pblri'), (51, 'v-component_of_wind_tropopause'), 0.18551910501932986)
((11, 'upward_short_wave_rad_flux_surface'), (27, 'soil_porosity_surface'), 0.18465241250353792)
((11, 'upward_short_wave_rad_flux_surface'), (18, 'land_cover_land1_sea0_surface'), 0.18465241250353792)
((15, 'surface_wind_gust_surface'), (56, 'u-component_of_wind_pblri'), 0.18432481069240456)
((12, 'relative_humidity_zerodegc_isotherm'), (32, 'soil_type_as_in_zobler_surface'), 0.18364086280309996)
((2, 'geopotential_height_lltw'), (28, 'vegetation_surface'), 0.18355715860903987)
((3, 'water_equiv_of_accum_snow_depth_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.1833407948771115)
((3, 'water_equiv_of_accum_snow_depth_surface'), (47, 'temperature_tropopause'), 0.18320483904030055)
((12, 'relative_humidity_zerodegc_isotherm'), (13, 'categorical_snow_yes1_no0_surface'), 0.18254393332123947)
((7, 'visibility_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.18243181723471766)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (47, 'temperature_tropopause'), 0.18235464907668542)
((11, 'upward_short_wave_rad_flux_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.18231487234387328)
((41, 'snow_cover_surface'), (42, 'geopotential_height_surface'), 0.18205245792112285)
((19, 'vegitation_type_as_in_sib_surface'), (49, 'pressure_tropopause'), 0.18154110791219888)
((30, 'downward_long_wave_rad_flux_surface'), (48, 'geopotential_height_pblri'), 0.18137024275353802)
((2, 'geopotential_height_lltw'), (52, 'downward_short_wave_rad_flux_surface'), 0.18048832034004123)
((11, 'upward_short_wave_rad_flux_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.17986335267036799)
((3, 'water_equiv_of_accum_snow_depth_surface'), (12, 'relative_humidity_zerodegc_isotherm'), 0.1791609152120445)
((45, 'surface_roughness_surface'), (50, 'snow_depth_surface'), 0.1781963046772044)
((30, 'downward_long_wave_rad_flux_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.17736795180785195)
((43, 'convective_available_potential_energy_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.17561311051788286)
((15, 'surface_wind_gust_surface'), (29, 'categorical_rain_yes1_no0_surface'), 0.17556978110931143)
((32, 'soil_type_as_in_zobler_surface'), (50, 'snow_depth_surface'), 0.17428359379004918)
((21, 'albedo_surface'), (56, 'u-component_of_wind_pblri'), 0.17160967995572374)
((50, 'snow_depth_surface'), (54, 'wilting_point_surface'), 0.17072335190989202)
((50, 'snow_depth_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.17072335190989202)
((13, 'categorical_snow_yes1_no0_surface'), (34, 'friction_velocity_surface'), 0.17027378526191492)
((20, 'v-component_of_wind_pblri'), (37, 'v-component_of_wind_maximum_wind'), 0.1692271479888397)
((34, 'friction_velocity_surface'), (42, 'geopotential_height_surface'), 0.16913505971068313)
